Order ID,Product,Category,Amount,Date,Country
127,Orange,Fruit,850,7/22/2012,New Zealand
128,Banana,Fruit,8986,7/23/2012,United Kingdom
129,Broccoli,Vegetables,3800,7/25/2012,United States
130,Carrots,Vegetables,5751,7/28/2012,United Kingdom
131,Apple,Fruit,1704,7/29/2012,United Kingdom
132,Banana,Fruit,7966,7/30/2012,Australia
133,Banana,Fruit,852,7/31/2012,United States
134,Beans,Vegetables,8416,7/31/2012,Australia
135,Banana,Fruit,7144,8/1/2012,France
136,Broccoli,Vegetables,7854,8/1/2012,United States
137,Orange,Fruit,859,8/3/2012,United States
138,Broccoli,Vegetables,8049,8/12/2012,United States
139,Banana,Fruit,2836,8/13/2012,Germany
140,Carrots,Vegetables,1743,8/19/2012,United States
141,Apple,Fruit,3844,8/23/2012,France
142,Apple,Fruit,7490,8/24/2012,France
143,Broccoli,Vegetables,4483,8/25/2012,Germany
144,Apple,Fruit,7333,8/27/2012,Canada
145,Carrots,Vegetables,7654,8/28/2012,United States
146,Apple,Fruit,3944,8/29/2012,United Kingdom
147,Beans,Vegetables,5761,8/29/2012,Germany
148,Banana,Fruit,6864,9/1/2012,New Zealand
149,Banana,Fruit,4016,9/1/2012,Germany
150,Banana,Fruit,1841,9/2/2012,United States
151,Banana,Fruit,424,9/5/2012,Australia
152,Banana,Fruit,8765,9/7/2012,United Kingdom
153,Banana,Fruit,5583,9/8/2012,United States
154,Broccoli,Vegetables,4390,9/9/2012,New Zealand
155,Broccoli,Vegetables,352,9/9/2012,Canada
156,Apple,Fruit,8489,9/11/2012,United States
157,Banana,Fruit,7090,9/11/2012,France
158,Banana,Fruit,7880,9/15/2012,United States
159,Orange,Fruit,3861,9/18/2012,United States
160,Broccoli,Vegetables,7927,9/19/2012,Germany
161,Banana,Fruit,6162,9/20/2012,United States
162,Mango,Fruit,5523,9/25/2012,Australia
163,Broccoli,Vegetables,5936,9/25/2012,United Kingdom
164,Carrots,Vegetables,7251,9/26/2012,Germany
165,Orange,Fruit,6187,9/27/2012,Australia
166,Banana,Fruit,3210,9/29/2012,Germany
167,Carrots,Vegetables,682,9/29/2012,Germany
168,Banana,Fruit,793,10/3/2012,Australia
169,Carrots,Vegetables,5346,10/4/2012,Germany
170,Banana,Fruit,7103,10/7/2012,New Zealand
171,Carrots,Vegetables,4603,10/10/2012,United States
172,Apple,Fruit,8160,10/16/2012,France
173,Apple,Fruit,7171,10/23/2012,United Kingdom
174,Banana,Fruit,3552,10/23/2012,New Zealand
175,Banana,Fruit,7273,10/25/2012,Australia
176,Banana,Fruit,2402,10/26/2012,Germany
177,Banana,Fruit,1197,10/26/2012,Australia
178,Beans,Vegetables,5015,10/26/2012,Australia
179,Orange,Fruit,5818,11/2/2012,United States
180,Banana,Fruit,4399,11/3/2012,United Kingdom
181,Carrots,Vegetables,3011,11/3/2012,United States
182,Apple,Fruit,4715,11/9/2012,United Kingdom
183,Apple,Fruit,5321,11/12/2012,France
184,Banana,Fruit,8894,11/15/2012,United States
185,Carrots,Vegetables,4846,11/25/2012,United Kingdom
186,Broccoli,Vegetables,284,11/25/2012,Germany
187,Orange,Fruit,8283,11/26/2012,United Kingdom
188,Orange,Fruit,9990,11/28/2012,Canada
189,Banana,Fruit,9014,11/28/2012,Australia
190,Apple,Fruit,1942,11/29/2012,France
191,Banana,Fruit,7223,11/30/2012,United States
192,Carrots,Vegetables,4673,12/2/2012,United States
193,Carrots,Vegetables,9104,12/4/2012,France
194,Apple,Fruit,6078,12/5/2012,United States
195,Beans,Vegetables,3278,12/6/2012,Germany
196,Banana,Fruit,136,12/12/2012,Canada
197,Banana,Fruit,8377,12/12/2012,Australia
198,Banana,Fruit,2382,12/12/2012,United States
199,Banana,Fruit,8702,12/15/2012,Germany
200,Banana,Fruit,5021,12/16/2012,United States
201,Apple,Fruit,1760,12/16/2012,Australia
202,Banana,Fruit,4766,12/18/2012,Germany
203,Beans,Vegetables,1541,12/19/2012,United Kingdom
204,Orange,Fruit,2782,12/20/2012,United Kingdom
205,Apple,Fruit,2455,12/20/2012,Canada
206,Apple,Fruit,4512,12/22/2012,New Zealand
207,Apple,Fruit,8752,12/22/2012,Germany
208,Carrots,Vegetables,9127,12/25/2012,United States
209,Apple,Fruit,1777,12/28/2012,France
210,Beans,Vegetables,680,12/28/2012,France
211,Orange,Fruit,958,12/29/2012,United States
212,Carrots,Vegetables,2613,12/29/2012,Australia
213,Carrots,Vegetables,339,12/30/2012,Australia
